Q1,Q2,Q3,Q4,Q5,Q6,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q14,Q15,Q16,Q17,CAMPAIGN,Brand_Perception_Before,Brand_Perception_After,Brand_Perception_Total,Purchase_Intention_Before,Purchase_Intention_After,Purchase_Intention_Total,Perceived_Impact_Before,Perceived_Impact_After,Perceived_Impact_Total
2,2,4,2,4,2,2,2,2,4,4,3,3,2,1,2,3,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.2,3.125
2,4,4,1,2,3,2,2,2,2,2,2,5,4,2,2,3,2.0,2.0,2.0,4.0,2.0,3.0,2.5,3.0,2.875
2,2,2,1,2,1,4,4,2,5,4,2,2,3,1,2,3,2.0,3.0,2.6666666666666665,2.0,4.0,3.0,1.5,3.2,2.5
3,4,4,2,4,2,3,2,3,4,3,2,2,4,2,2,3,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.125
2,5,4,3,4,3,5,4,4,3,4,4,3,4,2,2,3,2.0,4.5,3.6666666666666665,5.0,4.0,4.5,3.5,3.6,3.5
5,5,5,5,3,5,5,4,4,4,2,4,4,4,2,7,3,5.0,4.5,4.666666666666667,5.0,4.0,4.5,4.5,3.6,4.0
4,3,2,4,4,3,2,4,4,5,2,4,2,4,1,1,3,4.0,3.0,3.3333333333333335,3.0,4.0,3.5,3.25,3.4,3.25
2,1,5,4,3,1,4,2,3,4,5,5,4,2,1,2,3,2.0,3.5,3.0,1.0,2.0,1.5,3.25,4.0,3.5
2,4,4,3,2,2,4,3,2,3,4,3,2,3,1,2,3,2.0,3.0,2.6666666666666665,4.0,3.0,3.5,2.75,3.0,2.875
2,5,1,5,2,2,1,4,5,4,3,4,2,4,1,2,3,2.0,3.0,2.6666666666666665,5.0,4.0,4.5,2.5,3.4,2.875
3,4,4,3,3,4,2,1,2,4,2,3,2,2,2,1,3,3.0,2.0,2.3333333333333335,4.0,1.0,2.5,3.5,2.6,3.0
2,2,4,2,5,3,2,2,2,4,3,3,4,4,1,2,3,2.0,2.0,2.0,2.0,2.0,2.0,3.5,3.6,3.625
4,3,4,2,2,2,2,2,2,4,2,2,3,3,2,2,3,4.0,2.0,2.6666666666666665,3.0,2.0,2.5,2.5,2.8,2.75
3,4,2,2,3,1,4,1,2,4,2,1,1,2,2,3,3,3.0,3.0,3.0,4.0,1.0,2.5,2.0,2.0,2.125
4,4,3,2,3,2,2,2,2,5,3,3,2,3,1,3,3,4.0,2.0,2.6666666666666665,4.0,2.0,3.0,2.5,3.2,2.875
2,1,3,1,5,2,4,1,3,4,5,2,1,2,1,3,3,2.0,3.5,3.0,1.0,1.0,1.0,2.75,2.8,2.875
2,4,5,1,3,2,4,2,2,4,2,4,4,2,1,2,3,2.0,3.0,2.6666666666666665,4.0,2.0,3.0,2.75,3.2,2.875
3,1,3,2,3,3,2,1,2,5,1,1,3,4,1,3,3,3.0,2.0,2.3333333333333335,1.0,1.0,1.0,2.75,2.8,3.0
2,4,2,2,4,3,2,2,2,4,3,3,3,1,1,2,3,2.0,2.0,2.0,4.0,2.0,3.0,2.75,2.8,2.75
3,4,5,3,4,4,4,4,4,3,3,4,3,4,2,1,3,3.0,4.0,3.6666666666666665,4.0,4.0,4.0,4.0,3.4,3.625
2,3,4,2,2,2,2,2,2,5,3,1,1,3,1,3,3,2.0,2.0,2.0,3.0,2.0,2.5,2.5,2.6,2.75
2,5,3,3,4,3,4,4,4,4,4,4,3,4,2,2,3,2.0,4.0,3.3333333333333335,5.0,4.0,4.5,3.25,3.8,3.5
1,4,3,3,3,3,4,4,4,4,4,4,3,4,2,2,3,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.8,3.375
2,4,3,3,4,3,4,4,4,4,4,4,3,4,2,2,3,2.0,4.0,3.3333333333333335,4.0,4.0,4.0,3.25,3.8,3.5
2,4,3,3,4,3,4,4,4,4,4,4,3,4,2,2,3,2.0,4.0,3.3333333333333335,4.0,4.0,4.0,3.25,3.8,3.5
1,3,4,3,3,2,4,3,1,4,3,2,2,2,1,2,3,1.0,2.5,2.0,3.0,3.0,3.0,3.0,2.6,2.875
1,3,3,3,3,2,4,3,4,5,5,3,2,4,2,2,3,1.0,4.0,3.0,3.0,3.0,3.0,2.75,3.8,3.375
1,4,4,3,4,2,4,5,5,4,3,3,4,4,2,2,3,1.0,4.5,3.3333333333333335,4.0,5.0,4.5,3.25,3.6,3.5
5,4,2,1,4,1,4,2,2,4,3,4,1,2,1,3,3,5.0,3.0,3.6666666666666665,4.0,2.0,3.0,2.0,2.8,2.25
5,3,2,1,4,1,4,1,1,1,4,4,2,2,1,1,3,5.0,2.5,3.3333333333333335,3.0,1.0,2.0,2.0,2.6,2.125
2,4,3,3,4,3,3,4,4,4,3,4,3,4,2,2,3,2.0,3.5,3.0,4.0,4.0,4.0,3.25,3.6,3.375
2,4,3,3,4,3,4,5,5,4,4,4,4,4,2,2,3,2.0,4.5,3.6666666666666665,4.0,5.0,4.5,3.25,4.0,3.625
3,4,3,3,4,3,4,4,4,4,4,4,3,4,2,2,3,3.0,4.0,3.6666666666666665,4.0,4.0,4.0,3.25,3.8,3.5
